simTime,platformIndex,x,y,z,vx,vy,vz,damage
100.0,2,912051.4086424621,7000628.209009163,-597608.0074110162,-4044.656982421875,17.901165008544922,-5953.73779296875,0.0
110.0,1,-867820.3980977801,-6986557.9779528845,658418.4964835852,4065.110595703125,55.7247428894043,5958.70458984375,0.0
110.0,2,871554.1031156204,7000446.276164936,-657111.8961709584,-4054.80419921875,-54.2877311706543,-5947.0400390625,0.0
110.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
110.0,1,-867820.9803037494,-6986558.003210229,658417.376092328,4064.935791015625,55.716861724853516,5958.3681640625,0.0
110.0,2,871554.6794831011,7000446.300239979,-657110.7845514844,-4054.631103515625,-54.280208587646484,-5946.70654296875,0.0
120.0,1,-827122.5245754577,-6985638.481256507,717963.9431256613,4074.75537109375,128.18753051757812,5950.94482421875,0.0
120.0,2,830959.3644453872,6999542.635146985,-716541.0263007011,-4064.431884765625,-126.45280456542969,-5939.341796875,0.0
120.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
120.0,1,-827123.108680037,-6985638.519256623,717962.8241096877,4074.579833984375,128.1758270263672,5950.609375,0.0
120.0,2,830959.9426948942,6999542.671749354,-716539.9160134604,-4064.25830078125,-126.4415283203125,-5939.0087890625,0.0
130.0,1,-786329.9681191178,-6983994.531110187,777428.443356759,4084.04833984375,200.62181091308594,5942.5146484375,0.0
130.0,2,790270.0935028095,6997917.51258539,-775889.8498001943,-4073.711669921875,-198.59030151367188,-5930.97802734375,0.0
130.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
130.0,1,-786330.5540745364,-6983994.581845726,777427.325843319,4083.872314453125,200.6062774658203,5942.17919921875,0.0
130.0,2,790270.6735888508,6997917.561708204,-775888.7409685114,-4073.537353515625,-198.5752716064453,-5930.6455078125,0.0
140.0,1,-745446.2502202884,-6981626.450825326,836805.2932573254,4092.988525390625,273.0199279785156,5933.4140625,0.0
140.0,2,749489.7765512754,6995571.221791692,-835151.7147611678,-4082.64208984375,-270.6927185058594,-5921.94921875,0.0
140.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
